day, weekday, month, monthday, hi, lo, precip, humiditymod, wind, windir, eff_high, eff_low, spec
0, Lunadain, Thaumont, 1, 50, 30, No Precipitation, 50, 0, Indescernable, 50, 25, Normal
1, Gromdain, Thaumont, 2, 60, 40, No Precipitation, 57, 0, Indescernable, 65, 40, Normal
2, Tserdain, Thaumont, 3, 40, 20, No Precipitation, 58, 15, From Arctic, 40, -5, Normal
3, Moldain, Thaumont, 4, 35, 15, Trace Snow (1/2 inch), 47, 25, Prevailing Direction, 5, -20, Normal
4, Nytdain, Thaumont, 5, 35, 15, No Precipitation, 47, 25, Prevailing Direction, 5, -20, Normal
5, Loshdain, Thaumont, 6, 50, 30, No Precipitation, 57, 10, From Tropics, 50, 15, Normal
6, Soladain, Thaumont, 7, -5, -20, Light Snow (1 inch), 66, 0, Indescernable, -10, -25, Coldwave
7, Lunadain, Thaumont, 8, -5, -20, Light Snow (1 inch), 50, 10, Prevailing Direction, -25, -45, Coldwave
8, Gromdain, Thaumont, 9, -5, -20, Light Snow (1 inch), 47, 0, Indescernable, -10, -25, Coldwave
9, Tserdain, Thaumont, 10, -5, -20, No Precipitation, 56, 0, Indescernable, -10, -25, Coldwave
10, Moldain, Thaumont, 11, -5, -20, Trace Snow (1/2 inch), 66, 0, Indescernable, -10, -25, Coldwave
11, Nytdain, Thaumont, 12, -5, -20, No Precipitation, 59, 15, Prevailing Direction, -40, -60, Coldwave
12, Loshdain, Thaumont, 13, -5, -20, Light Snow (1 inch), 62, 0, Indescernable, -10, -25, Coldwave
13, Soladain, Thaumont, 14, -5, -20, No Precipitation, 44, 0, Indescernable, -10, -25, Coldwave
14, Lunadain, Thaumont, 15, -5, -20, No Precipitation, 56, 15, From Arctic, -40, -60, Coldwave
15, Gromdain, Thaumont, 16, 0, -10, No Precipitation, 67, 25, Prevailing Direction, -45, -60, Normal
16, Tserdain, Thaumont, 17, 0, -10, No Precipitation, 64, 40, From Arctic, -55, -70, Normal
17, Moldain, Thaumont, 18, 10, 0, No Precipitation, 69, 40, Prevailing Direction, -40, -55, Normal
18, Nytdain, Thaumont, 19, 10, 0, No Precipitation, 68, 40, Prevailing Direction, -40, -55, Normal
19, Loshdain, Thaumont, 20, 0, -10, Trace Snow (1/2 inch), 58, 45, From Arctic, -55, -70, Normal
20, Soladain, Thaumont, 21, 10, 0, No Precipitation, 55, 45, Prevailing Direction, -40, -55, Normal
21, Lunadain, Thaumont, 22, 25, 10, No Precipitation, 48, 30, From Tropics, -10, -35, Normal
22, Gromdain, Thaumont, 23, 35, 15, Light Snow (1 inch), 68, 20, From Tropics, 10, -15, Normal
23, Tserdain, Thaumont, 24, 40, 20, Trace Snow (1/2 inch), 54, 10, Prevailing Direction, 40, 0, Normal
24, Moldain, Thaumont, 25, 30, 15, No Precipitation, 59, 25, From Arctic, 0, -20, Normal
25, Nytdain, Thaumont, 26, 18, 10, No Precipitation, 69, 35, From Arctic, -20, -35, Normal
