day, weekday, month, monthday, hi, lo, precip, humiditymod, wind, windir, eff_high, eff_low, spec
0, Lunadain, Thaumont, 1, 75, 55, No Precipitation, 40, 0, Indescernable, 80, 55, Normal
1, Gromdain, Thaumont, 2, 70, 55, No Precipitation, 40, 10, Prevailing Direction, 70, 55, Normal
2, Tserdain, Thaumont, 3, 65, 45, No Precipitation, 28, 25, From Arctic, 65, 45, Normal
3, Moldain, Thaumont, 4, 65, 45, Trace Rain (<1/8 inch), 26, 35, From Arctic, 65, 45, Normal
4, Nytdain, Thaumont, 5, 70, 50, No Precipitation, 32, 35, Prevailing Direction, 70, 50, Normal
5, Loshdain, Thaumont, 6, 70, 50, No Precipitation, 27, 35, Prevailing Direction, 70, 50, Normal
6, Soladain, Thaumont, 7, 70, 55, No Precipitation, 40, 20, Prevailing Direction, 70, 55, Normal
7, Lunadain, Thaumont, 8, 70, 50, No Precipitation, 29, 35, Prevailing Direction, 70, 50, Normal
8, Gromdain, Thaumont, 9, 65, 45, No Precipitation, 39, 45, Prevailing Direction, 65, 45, Normal
9, Tserdain, Thaumont, 10, 65, 45, No Precipitation, 28, 45, Prevailing Direction, 65, 45, Normal
10, Moldain, Thaumont, 11, 70, 50, No Precipitation, 24, 35, Prevailing Direction, 70, 50, Normal
11, Nytdain, Thaumont, 12, 65, 45, No Precipitation, 31, 0, Indescernable, 65, 45, Particle Storm
12, Loshdain, Thaumont, 13, 65, 45, Trace Rain (<1/8 inch), 22, 10, Prevailing Direction, 65, 45, Normal
13, Soladain, Thaumont, 14, 70, 55, No Precipitation, 26, 0, Indescernable, 70, 55, Normal
14, Lunadain, Thaumont, 15, 70, 55, Trace Rain (<1/8 inch), 31, 0, Indescernable, 70, 55, Heatwave
15, Gromdain, Thaumont, 16, 70, 55, No Precipitation, 23, 0, Indescernable, 70, 55, Heatwave
16, Tserdain, Thaumont, 17, 70, 55, No Precipitation, 35, 15, Prevailing Direction, 70, 55, Heatwave
17, Moldain, Thaumont, 18, 70, 55, No Precipitation, 37, 0, Indescernable, 70, 55, Heatwave
18, Nytdain, Thaumont, 19, 95, 75, Trace Rain (<1/8 inch), 40, 0, Indescernable, 105, 80, Normal
19, Loshdain, Thaumont, 20, 90, 75, No Precipitation, 39, 10, Prevailing Direction, 95, 80, Normal
20, Soladain, Thaumont, 21, 95, 75, No Precipitation, 23, 0, Indescernable, 105, 80, Normal
21, Lunadain, Thaumont, 22, 90, 70, No Precipitation, 34, 10, From Arctic, 95, 70, Normal
22, Gromdain, Thaumont, 23, 85, 70, Trace Rain (<1/8 inch), 28, 20, Prevailing Direction, 90, 70, Normal
23, Tserdain, Thaumont, 24, 85, 70, No Precipitation, 40, 20, Prevailing Direction, 90, 70, Normal
24, Moldain, Thaumont, 25, 85, 65, No Precipitation, 38, 35, Prevailing Direction, 90, 65, Normal
25, Nytdain, Thaumont, 26, 85, 65, No Precipitation, 34, 35, Prevailing Direction, 90, 65, Normal
26, Loshdain, Thaumont, 27, 80, 60, No Precipitation, 35, 45, From Arctic, 80, 60, Normal
27, Soladain, Thaumont, 28, 80, 65, No Precipitation, 33, 30, Prevailing Direction, 80, 65, Normal
28, Lunadain, Flaurmont, 1, 85, 65, No Precipitation, 23, 20, Prevailing Direction, 90, 65, Normal
29, Gromdain, Flaurmont, 2, 90, 75, No Precipitation, 21, 0, Indescernable, 95, 80, Drought
30, Tserdain, Flaurmont, 3, 90, 70, No Precipitation, 38, 10, Prevailing Direction, 95, 70, Drought
31, Moldain, Flaurmont, 4, 85, 70, No Precipitation, 40, 25, Prevailing Direction, 90, 70, Drought
32, Nytdain, Flaurmont, 5, 80, 65, No Precipitation, 31, 35, From Arctic, 80, 65, Drought
33, Loshdain, Flaurmont, 6, 85, 65, No Precipitation, 22, 20, Prevailing Direction, 90, 65, Drought
34, Soladain, Flaurmont, 7, 80, 65, No Precipitation, 39, 30, Prevailing Direction, 80, 65, Drought
35, Lunadain, Flaurmont, 8, 80, 60, No Precipitation, 32, 40, Prevailing Direction, 80, 60, Drought
36, Gromdain, Flaurmont, 9, 80, 65, No Precipitation, 21, 30, Prevailing Direction, 80, 65, Drought
37, Tserdain, Flaurmont, 10, 80, 65, No Precipitation, 29, 30, Prevailing Direction, 80, 65, Drought
38, Moldain, Flaurmont, 11, 85, 70, No Precipitation, 29, 15, From Tropics, 90, 70, Drought
39, Nytdain, Flaurmont, 12, 90, 70, No Precipitation, 21, 0, Indescernable, 95, 70, Drought
40, Loshdain, Flaurmont, 13, 95, 75, No Precipitation, 27, 0, Indescernable, 105, 80, Drought
41, Soladain, Flaurmont, 14, 100, 80, No Precipitation, 24, 0, Indescernable, 110, 85, Normal
42, Lunadain, Flaurmont, 15, 100, 80, No Precipitation, 33, 0, Indescernable, 110, 85, Normal
43, Gromdain, Flaurmont, 16, 100, 80, Trace Rain (<1/8 inch), 25, 0, Indescernable, 110, 85, Normal
44, Tserdain, Flaurmont, 17, 100, 80, No Precipitation, 30, 0, Indescernable, 110, 85, Drought
45, Moldain, Flaurmont, 18, 90, 70, No Precipitation, 29, 15, From Arctic, 95, 70, Drought
46, Nytdain, Flaurmont, 19, 90, 75, No Precipitation, 30, 0, Indescernable, 95, 80, Drought
47, Loshdain, Flaurmont, 20, 90, 70, No Precipitation, 25, 15, Prevailing Direction, 95, 70, Drought
48, Soladain, Flaurmont, 21, 95, 75, No Precipitation, 30, 0, Indescernable, 105, 80, Drought
49, Lunadain, Flaurmont, 22, 90, 70, No Precipitation, 24, 10, From Arctic, 95, 70, Drought
50, Gromdain, Flaurmont, 23, 90, 75, No Precipitation, 40, 0, Indescernable, 95, 80, Drought
51, Tserdain, Flaurmont, 24, 100, 80, No Precipitation, 34, 0, Indescernable, 110, 85, Drought
