day, weekday, month, monthday, hi, lo, precip, humiditymod, wind, windir, eff_high, eff_low, spec
0, Lunadain, Thaumont, 1, 70, 50, No Precipitation, 37, 0, Indescernable, 70, 50, Normal
1, Gromdain, Thaumont, 2, 75, 55, No Precipitation, 27, 0, Indescernable, 80, 55, Normal
2, Tserdain, Thaumont, 3, 70, 50, No Precipitation, 24, 10, From Arctic, 70, 50, Normal
3, Moldain, Thaumont, 4, 75, 55, Trace Rain (<1/8 inch), 36, 0, Indescernable, 80, 55, Normal
4, Nytdain, Thaumont, 5, 80, 60, No Precipitation, 24, 0, Indescernable, 85, 60, Normal
5, Loshdain, Thaumont, 6, 80, 60, No Precipitation, 30, 0, Indescernable, 85, 60, Normal
6, Soladain, Thaumont, 7, 80, 60, No Precipitation, 39, 0, Indescernable, 85, 60, Normal
7, Lunadain, Thaumont, 8, 80, 65, No Precipitation, 28, 0, Indescernable, 85, 65, Normal
8, Gromdain, Thaumont, 9, 80, 60, No Precipitation, 26, 10, Prevailing Direction, 85, 60, Normal
9, Tserdain, Thaumont, 10, 75, 55, No Precipitation, 35, 20, Prevailing Direction, 75, 55, Normal
10, Moldain, Thaumont, 11, 80, 60, No Precipitation, 31, 5, Prevailing Direction, 85, 60, Normal
11, Nytdain, Thaumont, 12, 70, 55, Trace Rain (<1/8 inch), 27, 15, From Arctic, 70, 55, Normal
12, Loshdain, Thaumont, 13, 70, 55, No Precipitation, 37, 15, Prevailing Direction, 70, 55, Normal
13, Soladain, Thaumont, 14, 80, 65, No Precipitation, 30, 0, Indescernable, 85, 65, Drought
14, Lunadain, Thaumont, 15, 80, 65, No Precipitation, 39, 0, Indescernable, 85, 65, Drought
15, Gromdain, Thaumont, 16, 85, 65, No Precipitation, 21, 0, Indescernable, 90, 65, Drought
16, Tserdain, Thaumont, 17, 80, 60, No Precipitation, 24, 15, From Arctic, 85, 60, Drought
17, Moldain, Thaumont, 18, 70, 55, No Precipitation, 29, 30, From Arctic, 70, 55, Drought
18, Nytdain, Thaumont, 19, 70, 50, No Precipitation, 33, 45, Prevailing Direction, 70, 50, Drought
19, Loshdain, Thaumont, 20, 65, 45, No Precipitation, 30, 45, Prevailing Direction, 65, 45, Drought
