day, weekday, month, monthday, hi, lo, precip, humiditymod, wind, windir, eff_high, eff_low, spec
0, Lunadain, Thaumont, 1, 40, 20, Moderate Snow (2 inch), 83, 10, From Arctic, 40, 0, Normal
1, Gromdain, Thaumont, 2, 35, 15, Moderate Snow (2 inch), 81, 20, Prevailing Direction, 10, -15, Normal
2, Tserdain, Thaumont, 3, 40, 20, No Precipitation, 74, 20, Prevailing Direction, 40, -10, Normal
3, Moldain, Thaumont, 4, 35, 15, No Precipitation, 90, 35, Prevailing Direction, 0, -30, Normal
4, Nytdain, Thaumont, 5, 40, 20, No Precipitation, 82, 35, Prevailing Direction, 40, -20, Normal
5, Loshdain, Thaumont, 6, 85, 65, Heavy Rain (<1.5 inch), 77, 0, Indescernable, 100, 75, Heatwave
6, Soladain, Thaumont, 7, 85, 65, No Precipitation, 75, 0, Indescernable, 100, 75, Heatwave
7, Lunadain, Thaumont, 8, 85, 65, No Precipitation, 87, 0, Indescernable, 100, 75, Heatwave
8, Gromdain, Thaumont, 9, 85, 65, No Precipitation, 86, 0, Indescernable, 100, 75, Heatwave
9, Tserdain, Thaumont, 10, 85, 65, No Precipitation, 86, 15, Prevailing Direction, 100, 75, Heatwave
10, Moldain, Thaumont, 11, 85, 65, No Precipitation, 86, 30, Prevailing Direction, 95, 70, Heatwave
11, Nytdain, Thaumont, 12, 80, 60, No Precipitation, 80, 30, Prevailing Direction, 85, 65, Normal
12, Loshdain, Thaumont, 13, 80, 65, Heavy Rain (<1.5 inch), 71, 0, Indescernable, 90, 75, Normal
13, Soladain, Thaumont, 14, 80, 65, Heavy Rain (<1.5 inch), 83, 0, Indescernable, 90, 75, Normal
14, Lunadain, Thaumont, 15, 80, 65, Light Rain (<1/2 inch), 85, 0, Indescernable, 90, 75, Normal
15, Gromdain, Thaumont, 16, 70, 55, Heavy Rain (<1.5 inch), 81, 0, Indescernable, 80, 65, Normal
16, Tserdain, Thaumont, 17, 75, 55, No Precipitation, 80, 0, Indescernable, 85, 65, Normal
17, Moldain, Thaumont, 18, 75, 55, No Precipitation, 85, 0, Indescernable, 85, 65, Normal
18, Nytdain, Thaumont, 19, 70, 55, No Precipitation, 79, 15, Prevailing Direction, 80, 65, Normal
19, Loshdain, Thaumont, 20, 75, 55, Light Rain (<1/2 inch), 85, 5, Prevailing Direction, 85, 65, Normal
20, Soladain, Thaumont, 21, 80, 60, No Precipitation, 84, 0, Indescernable, 90, 70, Normal
21, Lunadain, Thaumont, 22, 80, 60, No Precipitation, 75, 0, Indescernable, 90, 70, Normal
22, Gromdain, Thaumont, 23, 80, 65, No Precipitation, 89, 0, Indescernable, 90, 75, Normal
23, Tserdain, Thaumont, 24, 80, 65, Light Rain (<1/2 inch), 83, 0, Indescernable, 90, 75, Normal
24, Moldain, Thaumont, 25, 80, 60, Moderate Rain (<3/4 inch), 76, 10, Prevailing Direction, 90, 70, Normal
25, Nytdain, Thaumont, 26, 75, 55, No Precipitation, 85, 25, Prevailing Direction, 80, 60, Normal
26, Loshdain, Thaumont, 27, 70, 50, No Precipitation, 89, 40, From Arctic, 70, 50, Normal
27, Soladain, Thaumont, 28, 60, 40, No Precipitation, 78, 45, From Arctic, 60, 40, Normal
28, Lunadain, Flaurmont, 1, 70, 50, No Precipitation, 72, 30, From Tropics, 75, 50, Normal
29, Gromdain, Flaurmont, 2, 70, 50, No Precipitation, 80, 30, Prevailing Direction, 75, 50, Normal
30, Tserdain, Flaurmont, 3, 75, 55, No Precipitation, 73, 15, From Tropics, 85, 65, Normal
31, Moldain, Flaurmont, 4, 75, 55, No Precipitation, 84, 15, Prevailing Direction, 85, 65, Normal
32, Nytdain, Flaurmont, 5, 75, 55, No Precipitation, 78, 15, Prevailing Direction, 85, 65, Normal
33, Loshdain, Flaurmont, 6, 70, 55, No Precipitation, 84, 30, Prevailing Direction, 75, 60, Normal
34, Soladain, Flaurmont, 7, 65, 45, No Precipitation, 90, 45, From Arctic, 65, 45, Normal
35, Lunadain, Flaurmont, 8, 70, 50, No Precipitation, 88, 30, Prevailing Direction, 75, 50, Normal
36, Gromdain, Flaurmont, 9, 65, 45, Moderate Rain (<3/4 inch), 87, 40, Prevailing Direction, 65, 45, Normal
37, Tserdain, Flaurmont, 10, 70, 55, Heavy Rain (<1.5 inch), 76, 30, From Tropics, 75, 60, Normal
38, Moldain, Flaurmont, 11, 75, 55, No Precipitation, 87, 15, Prevailing Direction, 85, 65, Normal
39, Nytdain, Flaurmont, 12, 70, 55, No Precipitation, 80, 30, Prevailing Direction, 75, 60, Normal
40, Loshdain, Flaurmont, 13, 80, 60, No Precipitation, 87, 15, From Tropics, 90, 70, Normal
41, Soladain, Flaurmont, 14, 80, 65, Light Rain (<1/2 inch), 85, 5, Prevailing Direction, 90, 75, Normal
42, Lunadain, Flaurmont, 15, 80, 65, No Precipitation, 80, 5, Prevailing Direction, 90, 75, Normal
43, Gromdain, Flaurmont, 16, 85, 65, Light Rain (<1/2 inch), 85, 0, Indescernable, 100, 75, Normal
44, Tserdain, Flaurmont, 17, 85, 70, No Precipitation, 79, 0, Indescernable, 100, 80, Normal
45, Moldain, Flaurmont, 18, 80, 65, No Precipitation, 79, 15, Prevailing Direction, 90, 75, Normal
46, Nytdain, Flaurmont, 19, 80, 60, Moderate Rain (<3/4 inch), 88, 25, Prevailing Direction, 85, 65, Normal
47, Loshdain, Flaurmont, 20, 70, 55, No Precipitation, 90, 40, From Arctic, 70, 55, Normal
48, Soladain, Flaurmont, 21, 70, 55, No Precipitation, 75, 40, Prevailing Direction, 70, 55, Normal
49, Lunadain, Flaurmont, 22, 70, 50, Moderate Rain (<3/4 inch), 80, 45, Prevailing Direction, 70, 50, Normal
50, Gromdain, Flaurmont, 23, 70, 55, No Precipitation, 77, 30, Prevailing Direction, 75, 60, Normal
51, Tserdain, Flaurmont, 24, 80, 60, No Precipitation, 76, 15, From Tropics, 90, 70, Normal
52, Moldain, Flaurmont, 25, 70, 55, No Precipitation, 74, 30, From Arctic, 75, 60, Normal
53, Nytdain, Flaurmont, 26, 80, 60, Moderate Rain (<3/4 inch), 87, 20, From Tropics, 85, 65, Normal
54, Loshdain, Flaurmont, 27, 80, 65, No Precipitation, 84, 5, Prevailing Direction, 90, 75, Normal
55, Soladain, Flaurmont, 28, 85, 65, No Precipitation, 90, 0, Indescernable, 100, 75, Normal
56, Lunadain, Yarthmont, 1, 85, 70, Light Rain (<1/2 inch), 45, 0, Indescernable, 95, 75, Normal
57, Gromdain, Yarthmont, 2, 90, 70, Trace Rain (<1/8 inch), 49, 0, Indescernable, 100, 75, Normal
58, Tserdain, Yarthmont, 3, 85, 65, Light Rain (<1/2 inch), 45, 10, From Arctic, 95, 70, Normal
59, Moldain, Yarthmont, 4, 80, 65, Moderate Rain (<3/4 inch), 54, 20, Prevailing Direction, 85, 65, Normal
60, Nytdain, Yarthmont, 5, 85, 65, No Precipitation, 42, 5, Prevailing Direction, 95, 70, Normal
