day, weekday, month, monthday, hi, lo, precip, humiditymod, wind, windir, eff_high, eff_low, spec
0, Lunadain, Thaumont, 1, 90, 75, Heavy Rain (<1.5 inch), 83, 200, Indescernable, 90, 75, Tornado
1, Gromdain, Thaumont, 2, 85, 65, No Precipitation, 81, 45, From Arctic, 90, 65, Normal
2, Tserdain, Thaumont, 3, 85, 65, No Precipitation, 71, 45, Prevailing Direction, 90, 65, Normal
3, Moldain, Thaumont, 4, 80, 65, No Precipitation, 82, 45, Prevailing Direction, 85, 65, Normal
4, Nytdain, Thaumont, 5, 70, 55, No Precipitation, 74, 0, Indescernable, 80, 65, Extreme Precipitation
5, Loshdain, Thaumont, 6, 70, 55, No Precipitation, 86, 0, Indescernable, 80, 65, Normal
6, Soladain, Thaumont, 7, 70, 50, No Precipitation, 71, 15, Prevailing Direction, 80, 50, Normal
7, Lunadain, Thaumont, 8, 70, 55, Light Rain (<1/2 inch), 81, 5, Prevailing Direction, 80, 65, Normal
8, Gromdain, Thaumont, 9, 70, 55, No Precipitation, 82, 5, Prevailing Direction, 80, 65, Normal
9, Tserdain, Thaumont, 10, 80, 60, Heavy Rain (<1.5 inch), 82, 0, Indescernable, 90, 70, Normal
10, Moldain, Thaumont, 11, 75, 55, Moderate Rain (<3/4 inch), 85, 10, Prevailing Direction, 85, 65, Normal
11, Nytdain, Thaumont, 12, 70, 55, Light Rain (<1/2 inch), 90, 20, Prevailing Direction, 75, 60, Normal
12, Loshdain, Thaumont, 13, 65, 45, Light Rain (<1/2 inch), 90, 30, From Arctic, 70, 45, Normal
13, Soladain, Thaumont, 14, 70, 55, No Precipitation, 85, 15, Prevailing Direction, 80, 65, Normal
14, Lunadain, Thaumont, 15, 75, 55, Heavy Rain (<1.5 inch), 80, 5, Prevailing Direction, 85, 65, Normal
15, Gromdain, Thaumont, 16, 80, 60, Moderate Rain (<3/4 inch), 86, 0, Indescernable, 90, 70, Normal
16, Tserdain, Thaumont, 17, 75, 55, No Precipitation, 78, 15, Prevailing Direction, 85, 65, Normal
17, Moldain, Thaumont, 18, 70, 55, Light Rain (<1/2 inch), 80, 25, Prevailing Direction, 75, 60, Normal
18, Nytdain, Thaumont, 19, 70, 55, No Precipitation, 86, 25, Prevailing Direction, 75, 60, Normal
19, Loshdain, Thaumont, 20, 80, 60, Moderate Rain (<3/4 inch), 84, 15, From Tropics, 90, 70, Normal
20, Soladain, Thaumont, 21, 80, 65, No Precipitation, 81, 0, Indescernable, 90, 75, Normal
21, Lunadain, Thaumont, 22, 85, 70, Heavy Rain (<1.5 inch), 71, 0, Indescernable, 100, 80, Normal
22, Gromdain, Thaumont, 23, 85, 70, No Precipitation, 74, 0, Indescernable, 100, 80, Normal
23, Tserdain, Thaumont, 24, 85, 65, Light Rain (<1/2 inch), 87, 10, Prevailing Direction, 100, 75, Normal
24, Moldain, Thaumont, 25, 85, 70, No Precipitation, 83, 0, Indescernable, 100, 80, Normal
25, Nytdain, Thaumont, 26, 90, 75, No Precipitation, 85, 0, Indescernable, 105, 85, Normal
26, Loshdain, Thaumont, 27, 85, 70, No Precipitation, 80, 15, Prevailing Direction, 100, 80, Normal
27, Soladain, Thaumont, 28, 85, 65, No Precipitation, 88, 30, Prevailing Direction, 95, 70, Normal
28, Lunadain, Flaurmont, 1, 75, 55, Heavy Rain (<1.5 inch), 71, 65, Prevailing, 75, 55, Gale
29, Gromdain, Flaurmont, 2, 75, 55, No Precipitation, 88, 45, Prevailing Direction, 80, 55, Normal
30, Tserdain, Flaurmont, 3, 70, 50, Light Rain (<1/2 inch), 74, 45, From Arctic, 70, 50, Normal
31, Moldain, Flaurmont, 4, 70, 50, Heavy Rain (<1.5 inch), 75, 45, From Arctic, 70, 50, Normal
32, Nytdain, Flaurmont, 5, 70, 55, No Precipitation, 82, 45, Prevailing Direction, 70, 55, Normal
33, Loshdain, Flaurmont, 6, 70, 55, No Precipitation, 87, 45, Prevailing Direction, 70, 55, Normal
34, Soladain, Flaurmont, 7, 70, 50, No Precipitation, 74, 45, Prevailing Direction, 70, 50, Normal
