day, weekday, month, monthday, hi, lo, precip, humiditymod, wind, windir, eff_high, eff_low, spec
0, Lunadain, Thaumont, 1, 80, 60, No Precipitation, 88, 0, Indescernable, 90, 70, Normal
1, Gromdain, Thaumont, 2, 80, 60, No Precipitation, 90, 0, Indescernable, 90, 70, Normal
2, Tserdain, Thaumont, 3, 80, 60, No Precipitation, 83, 0, Indescernable, 90, 70, Normal
3, Moldain, Thaumont, 4, 75, 55, No Precipitation, 71, 15, Prevailing Direction, 85, 65, Normal
4, Nytdain, Thaumont, 5, 80, 65, No Precipitation, 72, 0, Indescernable, 90, 75, Normal
5, Loshdain, Thaumont, 6, 80, 60, Light Rain (<1/2 inch), 85, 10, Prevailing Direction, 90, 70, Normal
6, Soladain, Thaumont, 7, 75, 55, Light Rain (<1/2 inch), 76, 20, Prevailing Direction, 80, 60, Normal
7, Lunadain, Thaumont, 8, 80, 60, No Precipitation, 87, 5, Prevailing Direction, 90, 70, Normal
8, Gromdain, Thaumont, 9, 80, 60, No Precipitation, 79, 5, Prevailing Direction, 90, 70, Normal
9, Tserdain, Thaumont, 10, 80, 60, No Precipitation, 87, 5, Prevailing Direction, 90, 70, Normal
10, Moldain, Thaumont, 11, 75, 55, No Precipitation, 89, 20, Prevailing Direction, 80, 60, Normal
11, Nytdain, Thaumont, 12, 75, 55, No Precipitation, 90, 20, Prevailing Direction, 80, 60, Normal
12, Loshdain, Thaumont, 13, 70, 55, No Precipitation, 71, 0, Indescernable, 80, 65, Extreme Precipitation
13, Soladain, Thaumont, 14, 70, 55, Moderate Rain (<3/4 inch), 86, 10, Prevailing Direction, 80, 65, Normal
14, Lunadain, Thaumont, 15, 80, 65, No Precipitation, 82, 0, Indescernable, 90, 75, Normal
15, Gromdain, Thaumont, 16, 80, 65, No Precipitation, 79, 0, Indescernable, 90, 75, Normal
16, Tserdain, Thaumont, 17, 85, 65, No Precipitation, 86, 0, Indescernable, 100, 75, Normal
17, Moldain, Thaumont, 18, 85, 65, No Precipitation, 75, 0, Indescernable, 100, 75, Normal
18, Nytdain, Thaumont, 19, 85, 70, No Precipitation, 76, 0, Indescernable, 100, 80, Normal
19, Loshdain, Thaumont, 20, 85, 65, Trace Rain (<1/8 inch), 78, 10, Prevailing Direction, 100, 75, Normal
20, Soladain, Thaumont, 21, 80, 65, Moderate Rain (<3/4 inch), 77, 20, Prevailing Direction, 85, 70, Normal
21, Lunadain, Thaumont, 22, 80, 65, No Precipitation, 78, 20, Prevailing Direction, 85, 70, Normal
22, Gromdain, Thaumont, 23, 75, 55, No Precipitation, 87, 35, From Arctic, 80, 60, Normal
23, Tserdain, Thaumont, 24, 70, 55, No Precipitation, 76, 45, Prevailing Direction, 70, 55, Normal
24, Moldain, Thaumont, 25, 70, 55, No Precipitation, 74, 45, Prevailing Direction, 70, 55, Normal
25, Nytdain, Thaumont, 26, 80, 60, Trace Rain (<1/8 inch), 90, 35, From Tropics, 85, 65, Normal
26, Loshdain, Thaumont, 27, 70, 55, Trace Rain (<1/8 inch), 74, 45, From Arctic, 70, 55, Normal
27, Soladain, Thaumont, 28, 80, 65, No Precipitation, 86, 30, From Tropics, 85, 70, Normal
28, Lunadain, Flaurmont, 1, 85, 65, Moderate Rain (<3/4 inch), 86, 20, Prevailing Direction, 95, 70, Normal
29, Gromdain, Flaurmont, 2, 85, 70, Heavy Rain (<1.5 inch), 82, 10, Prevailing Direction, 100, 80, Normal
30, Tserdain, Flaurmont, 3, 90, 70, Moderate Rain (<3/4 inch), 74, 0, Indescernable, 105, 80, Normal
31, Moldain, Flaurmont, 4, 90, 70, Heavy Rain (<1.5 inch), 72, 0, Indescernable, 105, 80, Morning Mist/Fog: 3 hours
32, Nytdain, Flaurmont, 5, 90, 70, No Precipitation, 78, 0, Indescernable, 105, 80, Normal
33, Loshdain, Flaurmont, 6, 90, 70, No Precipitation, 73, 0, Indescernable, 105, 80, Normal
34, Soladain, Flaurmont, 7, 80, 65, No Precipitation, 83, 15, From Arctic, 90, 75, Normal
35, Lunadain, Flaurmont, 8, 80, 65, No Precipitation, 74, 15, Prevailing Direction, 90, 75, Normal
36, Gromdain, Flaurmont, 9, 80, 65, No Precipitation, 76, 15, Prevailing Direction, 90, 75, Normal
37, Tserdain, Flaurmont, 10, 80, 65, No Precipitation, 75, 15, Prevailing Direction, 90, 75, Normal
38, Moldain, Flaurmont, 11, 85, 65, Heavy Rain (<1.5 inch), 87, 5, Prevailing Direction, 100, 75, Normal
39, Nytdain, Flaurmont, 12, 85, 65, No Precipitation, 74, 5, Prevailing Direction, 100, 75, Normal
40, Loshdain, Flaurmont, 13, 90, 70, Heavy Rain (<1.5 inch), 74, 0, Indescernable, 105, 80, Normal
41, Soladain, Flaurmont, 14, 85, 70, No Precipitation, 77, 0, Indescernable, 100, 80, Normal
42, Lunadain, Flaurmont, 15, 85, 65, Heavy Rain (<1.5 inch), 73, 10, Prevailing Direction, 100, 75, Normal
43, Gromdain, Flaurmont, 16, 85, 70, Heavy Rain (<1.5 inch), 81, 0, Indescernable, 100, 80, Normal
44, Tserdain, Flaurmont, 17, 90, 70, Heavy Rain (<1.5 inch), 78, 0, Indescernable, 105, 80, Normal
45, Moldain, Flaurmont, 18, 85, 70, No Precipitation, 84, 0, Indescernable, 100, 80, Normal
46, Nytdain, Flaurmont, 19, 80, 65, No Precipitation, 71, 15, From Arctic, 90, 75, Normal
47, Loshdain, Flaurmont, 20, 75, 55, Heavy Rain (<1.5 inch), 72, 25, From Arctic, 80, 60, Normal
48, Soladain, Flaurmont, 21, 80, 60, No Precipitation, 78, 10, Prevailing Direction, 90, 70, Normal
49, Lunadain, Flaurmont, 22, 85, 65, Moderate Rain (<3/4 inch), 87, 0, Indescernable, 100, 75, Normal
50, Gromdain, Flaurmont, 23, 85, 70, No Precipitation, 74, 0, Indescernable, 100, 80, Normal
51, Tserdain, Flaurmont, 24, 90, 70, No Precipitation, 72, 0, Indescernable, 105, 80, Normal
52, Moldain, Flaurmont, 25, 90, 70, No Precipitation, 73, 0, Indescernable, 105, 80, Normal
53, Nytdain, Flaurmont, 26, 90, 70, No Precipitation, 76, 0, Indescernable, 105, 80, Normal
54, Loshdain, Flaurmont, 27, 85, 70, No Precipitation, 71, 0, Indescernable, 100, 80, Normal
55, Soladain, Flaurmont, 28, 90, 70, Heavy Rain (<1.5 inch), 84, 0, Indescernable, 105, 80, Normal
56, Lunadain, Yarthmont, 1, 85, 65, Trace Rain (<1/8 inch), 88, 10, From Arctic, 100, 75, Normal
57, Gromdain, Yarthmont, 2, 80, 65, No Precipitation, 84, 25, Prevailing Direction, 85, 70, Normal
58, Tserdain, Yarthmont, 3, 85, 70, Trace Rain (<1/8 inch), 74, 15, From Tropics, 100, 80, Normal
59, Moldain, Yarthmont, 4, 85, 65, Trace Rain (<1/8 inch), 78, 25, Prevailing Direction, 95, 70, Normal
60, Nytdain, Yarthmont, 5, 80, 65, Trace Rain (<1/8 inch), 86, 35, Prevailing Direction, 85, 70, Normal
61, Loshdain, Yarthmont, 6, 90, 70, Moderate Rain (<3/4 inch), 83, 0, Indescernable, 105, 80, Morning Mist/Fog: 2 hours
62, Soladain, Yarthmont, 7, 90, 70, Trace Rain (<1/8 inch), 86, 0, Indescernable, 105, 80, Normal
63, Lunadain, Yarthmont, 8, 90, 70, Light Rain (<1/2 inch), 86, 0, Indescernable, 105, 80, Normal
64, Gromdain, Yarthmont, 9, 90, 70, No Precipitation, 90, 0, Indescernable, 105, 80, Normal
65, Tserdain, Yarthmont, 10, 80, 65, No Precipitation, 80, 15, From Arctic, 90, 75, Normal
66, Moldain, Yarthmont, 11, 80, 60, No Precipitation, 87, 30, Prevailing Direction, 85, 65, Normal
67, Nytdain, Yarthmont, 12, 75, 55, No Precipitation, 74, 45, Prevailing Direction, 80, 55, Normal
68, Loshdain, Yarthmont, 13, 70, 55, Trace Rain (<1/8 inch), 75, 45, From Arctic, 70, 55, Normal
69, Soladain, Yarthmont, 14, 70, 55, Trace Rain (<1/8 inch), 90, 45, Prevailing Direction, 70, 55, Normal
70, Lunadain, Yarthmont, 15, 75, 55, No Precipitation, 81, 45, Prevailing Direction, 80, 55, Normal
71, Gromdain, Yarthmont, 16, 75, 55, No Precipitation, 79, 45, Prevailing Direction, 80, 55, Normal
72, Tserdain, Yarthmont, 17, 80, 65, Light Rain (<1/2 inch), 77, 35, From Tropics, 85, 70, Normal
