day, weekday, month, monthday, hi, lo, precip, humiditymod, wind, windir, eff_high, eff_low, spec
0, Lunadain, Thaumont, 1, 85, 70, No Precipitation, 83, 0, Indescernable, 100, 80, Normal
1, Gromdain, Thaumont, 2, 80, 65, Trace Rain (<1/8 inch), 74, 10, From Arctic, 90, 75, Normal
2, Tserdain, Thaumont, 3, 80, 60, No Precipitation, 78, 25, Prevailing Direction, 85, 65, Normal
3, Moldain, Thaumont, 4, 80, 60, No Precipitation, 75, 40, From Arctic, 85, 60, Normal
4, Nytdain, Thaumont, 5, 85, 70, No Precipitation, 78, 25, From Tropics, 95, 75, Normal
5, Loshdain, Thaumont, 6, 80, 65, No Precipitation, 90, 35, From Arctic, 85, 70, Normal
6, Soladain, Thaumont, 7, 85, 70, Trace Rain (<1/8 inch), 83, 25, From Tropics, 95, 75, Normal
7, Lunadain, Thaumont, 8, 85, 65, No Precipitation, 89, 35, Prevailing Direction, 95, 70, Normal
8, Gromdain, Thaumont, 9, 85, 70, No Precipitation, 90, 20, Prevailing Direction, 95, 75, Normal
9, Tserdain, Thaumont, 10, 85, 65, Trace Rain (<1/8 inch), 86, 30, Prevailing Direction, 95, 70, Normal
10, Moldain, Thaumont, 11, 90, 70, No Precipitation, 76, 20, From Tropics, 100, 75, Normal
11, Nytdain, Thaumont, 12, 85, 70, No Precipitation, 89, 30, Prevailing Direction, 95, 75, Normal
12, Loshdain, Thaumont, 13, 85, 65, No Precipitation, 89, 45, Prevailing Direction, 90, 65, Normal
13, Soladain, Thaumont, 14, 80, 65, No Precipitation, 85, 45, Prevailing Direction, 85, 65, Normal
14, Lunadain, Thaumont, 15, 80, 65, No Precipitation, 73, 45, Prevailing Direction, 85, 65, Normal
15, Gromdain, Thaumont, 16, 85, 65, Trace Rain (<1/8 inch), 90, 35, Prevailing Direction, 95, 70, Normal
16, Tserdain, Thaumont, 17, 80, 60, No Precipitation, 89, 45, From Arctic, 85, 60, Normal
17, Moldain, Thaumont, 18, 80, 65, No Precipitation, 78, 45, Prevailing Direction, 85, 65, Normal
18, Nytdain, Thaumont, 19, 80, 65, No Precipitation, 71, 45, Prevailing Direction, 85, 65, Normal
19, Loshdain, Thaumont, 20, 85, 65, No Precipitation, 79, 30, Prevailing Direction, 95, 70, Normal
20, Soladain, Thaumont, 21, 90, 70, Trace Rain (<1/8 inch), 86, 20, From Tropics, 100, 75, Normal
21, Lunadain, Thaumont, 22, 85, 70, No Precipitation, 90, 30, Prevailing Direction, 95, 75, Normal
22, Gromdain, Thaumont, 23, 80, 65, No Precipitation, 75, 40, From Arctic, 85, 65, Normal
23, Tserdain, Thaumont, 24, 80, 60, No Precipitation, 83, 45, Prevailing Direction, 85, 60, Normal
24, Moldain, Thaumont, 25, 80, 60, No Precipitation, 80, 45, Prevailing Direction, 85, 60, Normal
25, Nytdain, Thaumont, 26, 80, 60, No Precipitation, 78, 45, Prevailing Direction, 85, 60, Normal
26, Loshdain, Thaumont, 27, 80, 65, No Precipitation, 81, 35, Prevailing Direction, 85, 70, Normal
27, Soladain, Thaumont, 28, 85, 65, Trace Rain (<1/8 inch), 71, 25, Prevailing Direction, 95, 70, Normal
28, Lunadain, Flaurmont, 1, 80, 65, Moderate Rain (<3/4 inch), 86, 35, Prevailing Direction, 85, 70, Normal
29, Gromdain, Flaurmont, 2, 75, 55, Downpour Rain (>1.5 inch), 71, 0, Indescernable, 85, 65, Coldwave
30, Tserdain, Flaurmont, 3, 75, 55, No Precipitation, 89, 15, Prevailing Direction, 85, 65, Coldwave
31, Moldain, Flaurmont, 4, 75, 55, Light Rain (<1/2 inch), 83, 25, Prevailing Direction, 80, 60, Coldwave
32, Nytdain, Flaurmont, 5, 80, 60, Moderate Rain (<3/4 inch), 71, 35, Prevailing Direction, 85, 65, Normal
33, Loshdain, Flaurmont, 6, 80, 60, Light Rain (<1/2 inch), 85, 45, From Arctic, 85, 60, Normal
34, Soladain, Flaurmont, 7, 85, 65, Moderate Rain (<3/4 inch), 81, 35, From Tropics, 95, 70, Normal
35, Lunadain, Flaurmont, 8, 80, 65, Moderate Rain (<3/4 inch), 90, 45, Prevailing Direction, 85, 65, Normal
36, Gromdain, Flaurmont, 9, 85, 65, Light Rain (<1/2 inch), 81, 35, Prevailing Direction, 95, 70, Normal
37, Tserdain, Flaurmont, 10, 90, 70, No Precipitation, 86, 20, From Tropics, 100, 75, Normal
38, Moldain, Flaurmont, 11, 85, 70, No Precipitation, 77, 35, Prevailing Direction, 95, 75, Normal
39, Nytdain, Flaurmont, 12, 90, 70, No Precipitation, 81, 20, Prevailing Direction, 100, 75, Normal
40, Loshdain, Flaurmont, 13, 90, 75, Moderate Rain (<3/4 inch), 88, 10, Prevailing Direction, 105, 85, Normal
41, Soladain, Flaurmont, 14, 90, 75, No Precipitation, 79, 10, Prevailing Direction, 105, 85, Normal
42, Lunadain, Flaurmont, 15, 100, 80, Downpour Rain (>1.5 inch), 72, 0, Indescernable, 120, 90, Normal
43, Gromdain, Flaurmont, 16, 100, 80, No Precipitation, 88, 0, Indescernable, 120, 90, Normal
44, Tserdain, Flaurmont, 17, 90, 75, Downpour Rain (>1.5 inch), 80, 10, From Arctic, 105, 85, Normal
45, Moldain, Flaurmont, 18, 85, 65, Downpour Rain (>1.5 inch), 74, 0, Indescernable, 100, 75, Extreme Precipitation
46, Nytdain, Flaurmont, 19, 85, 70, Moderate Rain (<3/4 inch), 75, 0, Indescernable, 100, 80, Normal
47, Loshdain, Flaurmont, 20, 80, 65, No Precipitation, 87, 15, From Arctic, 90, 75, Normal
48, Soladain, Flaurmont, 21, 80, 65, No Precipitation, 76, 15, Prevailing Direction, 90, 75, Normal
49, Lunadain, Flaurmont, 22, 80, 60, No Precipitation, 87, 30, From Arctic, 85, 65, Normal
50, Gromdain, Flaurmont, 23, 85, 65, No Precipitation, 88, 15, Prevailing Direction, 100, 75, Normal
51, Tserdain, Flaurmont, 24, 85, 65, No Precipitation, 76, 15, Prevailing Direction, 100, 75, Normal
52, Moldain, Flaurmont, 25, 90, 70, Downpour Rain (>1.5 inch), 87, 5, From Tropics, 105, 80, Normal
53, Nytdain, Flaurmont, 26, 100, 80, Downpour Rain (>1.5 inch), 76, 0, Indescernable, 120, 90, Morning Mist/Fog: 1 hours
54, Loshdain, Flaurmont, 27, 100, 80, No Precipitation, 84, 0, Indescernable, 120, 90, Normal
55, Soladain, Flaurmont, 28, 100, 80, No Precipitation, 81, 0, Indescernable, 120, 90, Normal
56, Lunadain, Yarthmont, 1, 95, 75, Heavy Rain (<1.5 inch), 41, 10, Prevailing Direction, 110, 80, Normal
57, Gromdain, Yarthmont, 2, 100, 80, Downpour Rain (>1.5 inch), 43, 0, Indescernable, 115, 85, Normal
58, Tserdain, Yarthmont, 3, 90, 75, No Precipitation, 67, 15, From Arctic, 100, 80, Normal
59, Moldain, Yarthmont, 4, 95, 75, No Precipitation, 67, 0, Indescernable, 110, 80, Normal
60, Nytdain, Yarthmont, 5, 100, 80, Heavy Rain (<1.5 inch), 66, 0, Indescernable, 115, 85, Normal
61, Loshdain, Yarthmont, 6, 105, 80, Downpour Rain (>1.5 inch), 69, 0, Indescernable, 120, 85, Normal
62, Soladain, Yarthmont, 7, 100, 80, Downpour Rain (>1.5 inch), 51, 10, Prevailing Direction, 115, 85, Normal
63, Lunadain, Yarthmont, 8, 90, 75, Heavy Rain (<1.5 inch), 42, 20, From Arctic, 95, 80, Normal
64, Gromdain, Yarthmont, 9, 90, 70, Heavy Rain (<1.5 inch), 53, 30, Prevailing Direction, 95, 70, Normal
65, Tserdain, Yarthmont, 10, 85, 70, Downpour Rain (>1.5 inch), 61, 40, Prevailing Direction, 90, 70, Normal
66, Moldain, Yarthmont, 11, 85, 65, No Precipitation, 62, 45, Prevailing Direction, 90, 65, Normal
67, Nytdain, Yarthmont, 12, 85, 65, No Precipitation, 45, 45, Prevailing Direction, 90, 65, Normal
68, Loshdain, Yarthmont, 13, 85, 70, No Precipitation, 45, 30, Prevailing Direction, 90, 70, Normal
69, Soladain, Yarthmont, 14, 85, 70, No Precipitation, 43, 30, Prevailing Direction, 90, 70, Normal
70, Lunadain, Yarthmont, 15, 85, 65, No Precipitation, 66, 45, Prevailing Direction, 90, 65, Normal
71, Gromdain, Yarthmont, 16, 85, 65, No Precipitation, 49, 45, Prevailing Direction, 90, 65, Normal
72, Tserdain, Yarthmont, 17, 90, 70, No Precipitation, 65, 30, From Tropics, 95, 70, Normal
73, Moldain, Yarthmont, 18, 90, 75, No Precipitation, 50, 15, Prevailing Direction, 100, 80, Normal
74, Nytdain, Yarthmont, 19, 90, 70, No Precipitation, 43, 30, Prevailing Direction, 95, 70, Normal
75, Loshdain, Yarthmont, 20, 85, 70, Downpour Rain (>1.5 inch), 53, 40, Prevailing Direction, 90, 70, Normal
76, Soladain, Yarthmont, 21, 80, 65, Downpour Rain (>1.5 inch), 50, 45, From Arctic, 80, 65, Normal
77, Lunadain, Yarthmont, 22, 85, 70, No Precipitation, 70, 30, Prevailing Direction, 90, 70, Normal
78, Gromdain, Yarthmont, 23, 90, 70, No Precipitation, 52, 15, Prevailing Direction, 100, 75, Normal
79, Tserdain, Yarthmont, 24, 85, 70, Heavy Rain (<1.5 inch), 46, 25, Prevailing Direction, 90, 70, Normal
80, Moldain, Yarthmont, 25, 85, 70, No Precipitation, 45, 25, Prevailing Direction, 90, 70, Normal
81, Nytdain, Yarthmont, 26, 80, 65, Downpour Rain (>1.5 inch), 45, 35, From Arctic, 85, 65, Normal
82, Loshdain, Yarthmont, 27, 80, 65, Heavy Rain (<1.5 inch), 55, 45, Prevailing Direction, 80, 65, Normal
83, Soladain, Yarthmont, 28, 85, 65, No Precipitation, 55, 45, Prevailing Direction, 90, 65, Normal
84, Lunadain, Klairmont, 1, 85, 70, No Precipitation, 68, 35, Prevailing Direction, 90, 70, Normal
85, Gromdain, Klairmont, 2, 85, 65, Trace Rain (<1/8 inch), 62, 45, Prevailing Direction, 90, 65, Normal
86, Tserdain, Klairmont, 3, 85, 65, No Precipitation, 58, 45, Prevailing Direction, 90, 65, Normal
87, Moldain, Klairmont, 4, 85, 70, No Precipitation, 70, 35, Prevailing Direction, 90, 70, Normal
88, Nytdain, Klairmont, 5, 80, 65, Light Rain (<1/2 inch), 59, 0, Indescernable, 85, 70, Normal
89, Loshdain, Klairmont, 6, 80, 65, Trace Rain (<1/8 inch), 41, 10, From Arctic, 85, 70, Normal
90, Soladain, Klairmont, 7, 85, 65, Trace Rain (<1/8 inch), 66, 0, Indescernable, 95, 70, Normal
91, Lunadain, Klairmont, 8, 80, 65, No Precipitation, 47, 15, Prevailing Direction, 85, 70, Normal
92, Gromdain, Klairmont, 9, 85, 70, No Precipitation, 42, 0, Indescernable, 95, 75, Normal
93, Tserdain, Klairmont, 10, 80, 65, No Precipitation, 70, 10, From Arctic, 85, 70, Normal
94, Moldain, Klairmont, 11, 85, 65, No Precipitation, 43, 0, Indescernable, 95, 70, Normal
95, Nytdain, Klairmont, 12, 90, 75, No Precipitation, 47, 0, Indescernable, 100, 80, Drought
96, Loshdain, Klairmont, 13, 90, 70, No Precipitation, 55, 15, Prevailing Direction, 100, 75, Drought
97, Soladain, Klairmont, 14, 85, 70, No Precipitation, 63, 30, Prevailing Direction, 90, 70, Drought
98, Lunadain, Klairmont, 15, 80, 65, No Precipitation, 67, 40, From Arctic, 80, 65, Drought
99, Gromdain, Klairmont, 16, 80, 65, No Precipitation, 50, 45, Prevailing Direction, 80, 65, Normal
100, Tserdain, Klairmont, 17, 80, 65, No Precipitation, 54, 45, Prevailing Direction, 80, 65, Normal
101, Moldain, Klairmont, 18, 80, 65, No Precipitation, 55, 45, Prevailing Direction, 80, 65, Normal
102, Nytdain, Klairmont, 19, 80, 65, Trace Rain (<1/8 inch), 51, 45, From Arctic, 80, 65, Normal
103, Loshdain, Klairmont, 20, 85, 65, No Precipitation, 43, 45, Prevailing Direction, 90, 65, Normal
104, Soladain, Klairmont, 21, 80, 65, No Precipitation, 59, 45, Prevailing Direction, 80, 65, Normal
105, Lunadain, Klairmont, 22, 85, 65, No Precipitation, 68, 45, Prevailing Direction, 90, 65, Normal
106, Gromdain, Klairmont, 23, 85, 65, No Precipitation, 50, 45, Prevailing Direction, 90, 65, Normal
107, Tserdain, Klairmont, 24, 80, 65, No Precipitation, 52, 45, Prevailing Direction, 80, 65, Normal
108, Moldain, Klairmont, 25, 80, 65, No Precipitation, 50, 45, From Arctic, 80, 65, Normal
109, Nytdain, Klairmont, 26, 85, 65, No Precipitation, 54, 45, Prevailing Direction, 90, 65, Normal
110, Loshdain, Klairmont, 27, 85, 70, No Precipitation, 43, 30, Prevailing Direction, 90, 70, Normal
111, Soladain, Klairmont, 28, 80, 65, No Precipitation, 65, 40, From Arctic, 80, 65, Normal
112, Lunadain, Felmont, 1, 80, 65, No Precipitation, 79, 45, From Arctic, 85, 65, Normal
113, Gromdain, Felmont, 2, 85, 65, No Precipitation, 80, 45, Prevailing Direction, 90, 65, Normal
114, Tserdain, Felmont, 3, 85, 70, No Precipitation, 81, 35, Prevailing Direction, 95, 75, Normal
115, Moldain, Felmont, 4, 85, 65, No Precipitation, 80, 45, Prevailing Direction, 90, 65, Normal
116, Nytdain, Felmont, 5, 80, 65, Trace Rain (<1/8 inch), 77, 45, Prevailing Direction, 85, 65, Normal
117, Loshdain, Felmont, 6, 80, 65, Trace Rain (<1/8 inch), 71, 45, Prevailing Direction, 85, 65, Normal
118, Soladain, Felmont, 7, 85, 70, No Precipitation, 81, 30, Prevailing Direction, 95, 75, Normal
119, Lunadain, Felmont, 8, 95, 75, Trace Rain (<1/8 inch), 75, 0, Indescernable, 115, 85, Normal
